REGION,CLUSTER TYPE,AGE,GENDER,MARITAL STATUS,EDUCATION LEVEL,SOURCE OF INCOME,TYPE OF EMPLOYER,EMPLOYMENT STATUS,FINANCIAL LITERATE,STRUGGLE WITH EXPENSES,SERVICE USED FOR MANAGING MONEY,TYPE OF HEALTH INSTITUTION HE ATTENDS,AWARE OF INSURANCE SERVICES,DONT NEED INSURANCE,TARGET VARIABLE,ins3_1__1,ins3_1__2,ins3_1__3,ins3_1__4,ins3_1__5,ins3_1__6,ins3_1__7,ins3_1__8,ins3_1__9,ins3_1__10,ins3_1__11,ins3_1__12,ins3_1__13,ins3_1__14,ins3_1__15,ins3_1__16,ins3_1__17,ins3_1__18,SATISFIED WITH INSURANCE
Tanga,Urban,43,Female,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,often,Micro lenders/formal moneylenders e.g,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,25,Male,Single/never married,Some secondary,Salaries/wages from regular job,Private formal registered business,Full-time throughout the year,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Pwani,Rural,44,Male,Single/never married,Some secondary,Piece work/Casual labor/Occasional jobs, , ,FALSE,sometimes,Mobile Money Agents,Private health care facility /consult private doctor,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,32,Male,Married/living together,Secondary competed-O level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Banks e.g,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Kilimanjaro,Rural,50,Female,Single/never married,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Rural,49,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,always,Bank agents e.g,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Songwe,Rural,30,Female,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Pwani,Rural,64,Female,Widowed,No formal education, , , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Pwani,Rural,30,Female,Married/living together,Secondary competed-O level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Mobile Money Agents,Private health care facility /consult private doctor,No,No,No, , , , , , , , , , , , , , , , , , , 
Mara,Rural,23,Female,Widowed,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Informal moneylenders,Private health care facility /consult private doctor,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Kilimanjaro,Rural,29,Female,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Microfinance institutions e.g,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,94,Female,Widowed,Some primary,Rely on someone else/others to give/send me money, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Rural,19,Male,Single/never married,Some secondary,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Rural,74,Female,Married/living together,No formal education,Rely on someone else/others to give/send me money, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Rukwa,Rural,24,Female,Divorced/separated,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Pharmacy,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Rural,37,Female,Divorced/separated,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Rural,29,Male,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Rural,46,Female,Married/living together,Primary completed, , , ,FALSE,always,Mobile Money Agents,Private health care facility /consult private doctor,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Tanga,Rural,25,Male,Single/never married,Primary completed,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,FALSE,always,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Pwani,Rural,38,Male,Married/living together,Primary completed,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,FALSE,always,Microfinance institutions e.g,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Songwe,Rural,18,Female,Single/never married,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,25,Female,Married/living together,Some primary,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Pwani,Rural,18,Male,Single/never married,Secondary competed-O level, , , ,FALSE,never,Mobile Money Agents,Public health care facility,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Ruvuma,Rural,48,Female,Single/never married,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Private health care facility /consult private doctor,No,No,No, , , , , , , , , , , , , , , , , , , 
Arusha,Rural,21,Female,Married/living together,Secondary competed-O level, , , ,FALSE,often,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Rural,52,Female,Divorced/separated,No formal education,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Mtwara,Rural,24,Male,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Rural,76,Female,Widowed,Some primary,Rely on someone else/others to give/send me money, , ,FALSE,never,Mobile Money Agents,Private health care facility /consult private doctor,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Manyara,Rural,53,Female,Married/living together,No formal education,Rely on someone else/others to give/send me money, , ,TRUE,never,Mobile Money Agents,Public health care facility,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Dodoma,Rural,32,Male,Single/never married,Secondary competed-O level,Salaries/wages from regular job,Government,Full-time throughout the year,TRUE,sometimes,Banks e.g,Private health care facility /consult private doctor,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Mara,Rural,29,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Katavi,Rural,20,Female,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,sometimes,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,18,Female,Single/never married,Secondary competed-O level, , , ,FALSE,never,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Kigoma,Rural,28,Male,Married/living together,Primary completed,Salaries/wages from regular job,Farmer,Part-time/Seasonally/Occasionally,FALSE,always,Mobile Money Agents,Public health care facility,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Songwe,Rural,66,Female,Widowed,Some primary,Rely on someone else/others to give/send me money, , ,FALSE,often, ,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Pwani,Rural,19,Female,Single/never married,Primary completed, , , ,FALSE,never,Mobile Money Agents,Private health care facility /consult private doctor,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Kigoma,Rural,58,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mjini Magharibi,Rural,42,Female,Married/living together,Some secondary, , , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mjini Magharibi,Urban,31,Male,Married/living together,Secondary competed-O level,Salaries/wages from regular job,Government,Full-time throughout the year,FALSE,always,Banks e.g,Do not take treatment,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Mjini Magharibi,Urban,55,Female,Married/living together,No formal education,Rely on someone else/others to give/send me money, , ,FALSE,rarely,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Kaskazini Unguja,Rural,19,Female,Single/never married,Some secondary, , , ,FALSE,never,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Kusini Pemba,Urban,50,Female,Married/living together,Secondary competed-O level,Salaries/wages from regular job,Private formal registered business,Full-time throughout the year,FALSE,sometimes,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Kaskazini Pemba,Rural,22,Female,Married/living together,Secondary competed-O level, , , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Kaskazini Pemba,Rural,36,Male,Married/living together,Secondary competed-O level,Salaries/wages from regular job,Government,Full-time throughout the year,FALSE,always,Banks e.g,Private health care facility /consult private doctor,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Kaskazini Pemba,Urban,59,Male,Married/living together,Primary completed,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mjini Magharibi,Urban,27,Female,Married/living together,Some University or other higher education, , , ,TRUE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mjini Magharibi,Urban,30,Female,Married/living together,Some primary, , , ,TRUE,never,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mjini Magharibi,Urban,58,Female,Married/living together,No formal education, , , ,FALSE,rarely, ,Private health care facility /consult private doctor,No,No,No, , , , , , , , , , , , , , , , , , , 
Kaskazini Unguja,Rural,28,Female,Single/never married,Secondary competed-O level, , , ,TRUE,sometimes,Mobile Money Agents,Do not take treatment,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Kusini Pemba,Rural,31,Female,Married/living together,Some secondary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,rarely,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Kaskazini Unguja,Rural,42,Female,Divorced/separated,Some primary,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mjini Magharibi,Urban,42,Female,Married/living together,Some secondary,Piece work/Casual labor/Occasional jobs, , ,FALSE,often, ,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Kusini Pemba,Rural,40,Male,Married/living together,Some secondary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Kaskazini Pemba,Rural,78,Male,Widowed,No formal education, , , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mjini Magharibi,Urban,42,Female,Married/living together,Some secondary,Salaries/wages from regular job,Government,Full-time throughout the year,FALSE,sometimes,Banks e.g,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mjini Magharibi,Urban,22,Female,Single/never married,Secondary competed-O level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes, ,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mjini Magharibi,Urban,63,Female,Widowed,Some primary,Rely on someone else/others to give/send me money, , ,FALSE,always,Insurance services e.g,Public health care facility,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Mjini Magharibi,Urban,58,Male,Married/living together,Secondary competed-O level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always, ,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mjini Magharibi,Urban,23,Female,Single/never married,Secondary competed-O level,Rely on someone else/others to give/send me money, , ,FALSE,never,Mobile Money Agents,Private health care facility /consult private doctor,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Mjini Magharibi,Urban,37,Female,Divorced/separated,Some secondary,Rely on someone else/others to give/send me money, , ,FALSE,rarely,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mjini Magharibi,Rural,62,Female,Divorced/separated,No formal education,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,Yes,No, , , , , , , , , , , , , , , , , , , 
Kaskazini Unguja,Rural,18,Male,Single/never married,Some secondary,Rely on someone else/others to give/send me money, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mjini Magharibi,Urban,59,Male,Married/living together,Some secondary,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mjini Magharibi,Urban,34,Female,Married/living together,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mjini Magharibi,Urban,42,Male,Married/living together,Some secondary,Salaries/wages from regular job,"Work for individual/household e.g. security guard, maid etc",Part-time/Seasonally/Occasionally,FALSE,always,Banks e.g,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Kusini Pemba,Urban,40,Female,Divorced/separated,Some secondary,Social welfare money/grant from Government, , ,TRUE,often,Banks e.g,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Kusini Pemba,Urban,59,Male,Married/living together,Secondary competed-O level,Salaries/wages from regular job,Government,Full-time throughout the year,FALSE,always,Banks e.g,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Kusini Pemba,Urban,40,Female,Married/living together,University or higher education completed,Salaries/wages from regular job,Government,Full-time throughout the year,FALSE,sometimes,Banks e.g,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Kaskazini Unguja,Rural,30,Male,Married/living together,Some secondary,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Kusini Pemba,Urban,39,Female,Married/living together,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often, ,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mjini Magharibi,Urban,41,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often, ,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Kusini Pemba,Rural,21,Female,Married/living together,Secondary competed-O level, , , ,FALSE,never,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mjini Magharibi,Urban,20,Female,Single/never married,Secondary competed-O level,Rely on someone else/others to give/send me money, , ,FALSE,never,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Urban,64,Male,Married/living together,University or higher education completed,Pension, , ,TRUE,sometimes,Banks e.g,Public health care facility,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Mara,Urban,59,Female,Widowed,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,always,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Urban,30,Female,Married/living together,Primary completed, , , ,FALSE,often, ,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mbeya,Urban,41,Female,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Other,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Urban,57,Female,Married/living together,Secondary competed-O level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,often,Bank agents e.g,Private health care facility /consult private doctor,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Njombe,Urban,64,Female,Widowed,Secondary competed-O level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Kigoma,Urban,58,Male,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Urban,34,Male,Married/living together,Secondary competed-O level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Shinyanga,Urban,23,Female,Single/never married,Secondary competed-O level,Piece work/Casual labor/Occasional jobs, , ,TRUE,often,Mobile Money Agents,Pharmacy,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Simiyu,Urban,19,Male,Single/never married,Secondary competed-O level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,always,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Manyara,Urban,50,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,often,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Manyara,Urban,31,Female,Married/living together,Secondary competed-O level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,always,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Pwani,Urban,51,Male,Married/living together,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Urban,72,Female,Widowed,Some primary,Rely on someone else/others to give/send me money, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Ruvuma,Urban,66,Male,Married/living together,University or higher education completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,often,Banks e.g,Public health care facility,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Manyara,Urban,35,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Morogoro,Urban,26,Female,Married/living together,Secondary competed-O level,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Singida,Urban,46,Male,Married/living together,Some secondary,Piece work/Casual labor/Occasional jobs, , ,TRUE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Rukwa,Urban,61,Female,Widowed,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Dodoma,Urban,52,Female,Single/never married,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,always,Micro lenders/formal moneylenders e.g,Pharmacy,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Morogoro,Urban,55,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Songwe,Urban,33,Female,Divorced/separated,Secondary competed-O level,Piece work/Casual labor/Occasional jobs, , ,TRUE,always,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Urban,32,Male,Married/living together,University or higher education completed,Salaries/wages from regular job,Government,Full-time throughout the year,FALSE,sometimes,Insurance services e.g,Public health care facility,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Morogoro,Urban,59,Male,Divorced/separated,Primary completed,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,TRUE,always,Banks e.g,Public health care facility,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Iringa,Urban,40,Male,Divorced/separated,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Manyara,Urban,20,Female,Single/never married,Secondary competed-O level,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Simiyu,Urban,38,Female,Married/living together,Secondary competed-O level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Dodoma,Urban,30,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes, ,Public health care facility,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Morogoro,Urban,29,Male,Married/living together,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often, ,Private health care facility /consult private doctor,No,No,No, , , , , , , , , , , , , , , , , , , 
Arusha,Urban,17,Female,Single/never married,Secondary competed-O level, , , ,TRUE,never,Mobile Money Agents,Public health care facility,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Manyara,Urban,48,Female,Widowed,No formal education,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Tanga,Urban,56,Male,Married/living together,University or higher education completed,Salaries/wages from regular job,Government,Full-time throughout the year,TRUE,often,Banks e.g,Public health care facility,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Ruvuma,Urban,49,Female,Married/living together,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Songwe,Urban,51,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Morogoro,Urban,35,Male,Divorced/separated,Primary completed,Salaries/wages from regular job,Private formal registered business,Full-time throughout the year,FALSE,always,Pension service,Pharmacy,No,No,No, , , , , , , , , , , , , , , , , , , 
Simiyu,Urban,31,Male,Single/never married,Secondary competed-O level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Manyara,Urban,22,Male,Married/living together,Secondary competed-O level,Piece work/Casual labor/Occasional jobs,Private formal registered business,Full-time throughout the year,TRUE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Simiyu,Urban,21,Female,Single/never married,Some secondary,Piece work/Casual labor/Occasional jobs, , ,TRUE,often,Banks e.g,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Simiyu,Urban,46,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Pharmacy,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Singida,Urban,34,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Tanga,Urban,41,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Private health care facility /consult private doctor,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Urban,34,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
